#{"t_start": 1679181296.8152761, "env_id": null}
r,l,t
-11.416884,184,0.070268
-3.10123,43,0.083203
-1.338426,40,0.095112
-0.876028,12,0.098709
-11.933466,185,0.153909
-1.844465,24,0.161124
-11.926762,189,0.217764
-4.079442,49,0.2322
-1.195019,27,0.240113
-15.648268,224,0.306741
-2.488077,27,0.356034
-1.076767,40,0.365451
0.219066,20,0.369459
-13.026318,153,0.407372
-12.114408,188,0.462188
-23.037433,267,0.541375
-0.717234,8,0.543862
-13.121466,178,0.596893
-1.794504,35,0.607096
-5.823587,103,0.63731
-0.98531,25,0.656177
-3.626498,62,0.674612
-0.924704,11,0.677911
-8.979751,141,0.715685
-2.302682,16,0.720641
-4.324155,56,0.737042
-0.998834,29,0.745502
-10.714726,157,0.785466
-2.342584,16,0.788736
-1.898432,23,0.793209
-1.241857,21,0.797476
-1.646302,16,0.800621
-4.099478,43,0.809178
-11.236009,165,0.841536
-2.113344,13,0.844183
-24.738275,303,0.948865
-0.567178,10,0.952373
-23.602728,328,1.041393
-1.912808,17,1.0448
-7.482602,81,1.060877
-0.596345,19,1.064709
-1.596496,10,1.066722
-19.892998,246,1.115087
-12.75892,170,1.148654
-5.019738,48,1.167452
-1.746294,26,1.174215
-2.039647,19,1.179707
-19.785497,316,1.273592
0.959011,14,1.277775
-0.630073,8,1.280183
-8.049353,112,1.313274
-0.854377,12,1.316842
-0.084923,15,1.321338
-1.614266,15,1.325906
-3.720084,47,1.339725
-17.203342,231,1.408502
-5.637011,67,1.428637
-34.578347,466,1.571815
-1.330266,24,1.578915
-17.736585,188,1.635022
-2.596528,27,1.643101
-0.977572,51,1.658005
-6.863743,96,1.686449
-22.44477,289,1.781923
-1.811805,12,1.785642
-4.782465,92,1.812837
-1.258738,14,1.817008
-37.431061,520,1.968668
-6.667212,95,1.997107
-8.776673,170,2.047813
-1.04749,25,2.055173
-3.329618,31,2.07444
-25.444221,341,2.175024
-7.288851,88,2.199973
-56.731607,742,2.432285
-2.220834,18,2.437568
-27.076622,335,2.516958
-1.943928,21,2.521088
-0.915731,19,2.524775
-12.892015,159,2.556012
-1.712727,12,2.558458
-4.313468,82,2.574581
-1.761721,32,2.580795
-26.82916,354,2.659986
-7.605909,119,2.683615
-28.438376,358,2.754321
-2.887321,34,2.760968
-1.863815,22,2.765252
-11.085773,177,2.800251
-1.090511,13,2.802875
-4.389492,76,2.821505
0.171831,21,2.825469
-2.955013,49,2.835166
-2.108066,14,2.837969
-4.193636,103,2.858092
-1.538594,9,2.859887
-41.950446,526,2.964316
-1.825662,19,2.968014
-2.141191,28,2.973518
-1.20859,12,2.975905
-1.002869,18,2.97962
-1.859041,17,2.982973
-10.751133,152,3.013035
-1.392597,26,3.019595
-0.925225,22,3.03788
-5.941241,89,3.067202
-4.719367,76,3.087311
-1.29391,16,3.090542
-19.570612,247,3.152766
-1.092272,14,3.156917
-3.542906,55,3.173076
-1.092026,23,3.17984
-1.495057,14,3.184017
-1.084149,14,3.188028
-8.896308,117,3.222439
-1.419674,20,3.228269
-4.841187,87,3.254374
-1.267963,31,3.263599
-22.331944,294,3.362871
-2.352754,44,3.375599
-5.225222,83,3.39652
-8.35221,122,3.433072
-2.550291,36,3.443877
-5.025896,71,3.465269
0.129044,19,3.470745
-3.859566,55,3.486778
-2.63716,39,3.498466
-18.50078,230,3.566923
-1.989825,16,3.57176
-108.183073,1412,4.004856
-1.788442,15,4.0093
-1.814308,19,4.01508
-9.102896,118,4.05106
-1.358706,17,4.056129
-12.030821,144,4.099028
-2.25218,20,4.104907
-2.691795,29,4.113689
-8.696684,95,4.142152
-0.061321,27,4.150069
-1.507593,14,4.154113
-27.101292,376,4.278081
-20.884593,244,4.34636
-2.787609,23,4.35319
-3.154041,52,4.368655
-46.875279,627,4.561932
-1.512671,60,4.579593
-5.469284,69,4.600133
-5.714271,84,4.624245
-15.93921,206,4.686438
-8.887118,122,4.7228
-5.885543,70,4.743614
-0.824825,21,4.74981
-8.658047,129,4.788269
-11.264524,164,4.837121
-72.531276,897,5.110658
-16.880376,262,5.196021
-11.12501,154,5.240263
-1.479037,17,5.245336
-3.783644,53,5.26074
-1.256735,51,5.275972
-2.130762,59,5.29368
-0.507955,19,5.299226
-2.38118,18,5.304784
-2.076705,25,5.31205
-0.97274,30,5.321167
-16.456832,269,5.40129
-2.329355,21,5.407622
-1.361688,25,5.414921
-0.200549,40,5.426583
-0.378598,8,5.42896
-83.928904,1139,5.779539
-2.198413,15,5.784061
-4.566925,47,5.798277
-6.314991,97,5.826944
-1.568724,8,5.82862
-16.227258,241,5.898443
-25.931964,321,5.994453
-4.271953,41,6.006564
-1.887712,14,6.010655
-12.31215,156,6.066154
-1.199095,18,6.07142
-19.701136,304,6.159496
-1.286099,31,6.168489
-0.74699,14,6.172749
-2.590732,43,6.185546
-0.632496,12,6.189173
-18.820192,287,6.275267
-9.102763,145,6.318956
-41.098303,544,6.487965
-0.545222,14,6.492073
-1.446755,33,6.501654
-2.191713,21,6.507648
-1.62527,19,6.513326
-1.533456,13,6.516981
-35.264841,446,6.650965
-12.019496,138,6.701736
-26.146722,339,6.799691
-32.686332,416,6.923677
-7.905108,97,6.952485
-2.014516,17,6.957705
-3.302609,34,6.978466
-53.603631,738,7.198715
1.210239,14,7.202901
-0.393645,12,7.206484
-1.498585,22,7.213203
-3.500067,33,7.223066
-2.997295,43,7.235842
-12.70513,159,7.287538
-1.292095,16,7.292444
-34.633912,469,7.432172
-2.783418,29,7.440849
-1.340903,22,7.447427
-1.797962,9,7.450233
-3.950833,35,7.460719
-3.280932,33,7.470667
-1.039821,13,7.474368
-0.823528,19,7.480176
-25.107699,317,7.575417
-34.230632,455,7.714742
-2.101565,22,7.721241
-1.104272,35,7.73164
-4.898854,52,7.747184
-1.964933,15,7.751617
-1.817829,21,7.757625
-1.032425,14,7.761588
-4.346251,59,7.778822
-14.807185,190,7.835763
-17.328434,241,7.919335
-2.89718,52,7.934797
-20.899025,257,8.007456
-20.605801,295,8.095797
-0.772596,18,8.101218
-0.883613,15,8.105722
-11.701803,161,8.15435
-0.110163,17,8.159434
-2.03715,26,8.16724
0.06693,21,8.173486
-19.695236,258,8.254502
-1.438144,28,8.262754
-3.748788,48,8.276553
-10.13043,136,8.317703
-13.737372,172,8.369108
-35.399306,438,8.508624
-1.852454,16,8.513177
-1.651735,21,8.519688
-0.117753,8,8.522044
-1.372311,15,8.526397
-26.011844,326,8.622539
-2.287999,39,8.634093
-1.310001,21,8.640336
-2.791336,33,8.650161
-18.487761,246,8.723819
-1.463678,18,8.729263
-3.439764,39,8.740876
-46.219624,629,8.937159
-1.946984,23,8.944077
-1.23163,14,8.948308
-3.586821,35,8.958701
-4.708195,73,8.980356
-1.858199,15,8.984712
-8.514195,100,9.014597
-3.620507,57,9.031358
-1.718603,19,9.03719
-0.756689,29,9.045728
-6.938904,84,9.070997
-3.728452,43,9.083669
-8.006335,108,9.128196
-2.50507,20,9.134033
-59.432833,691,9.336962
-2.505498,63,9.355653
-7.197593,101,9.385575
-2.945924,28,9.393991
-23.988994,280,9.485854
-3.966798,39,9.496819
-2.237898,24,9.50404
-0.08201,11,9.507368
-7.310637,108,9.539731
-6.422276,113,9.573635
-9.675108,96,9.602542
-0.200368,18,9.607662
-27.978583,390,9.737672
-8.983073,124,9.774638
-5.785476,76,9.793745
-10.304763,126,9.829968
-1.489008,18,9.835456
-2.361689,26,9.843114
-22.045964,286,9.928606
-18.624417,248,10.002389
-13.25936,218,10.08023
-8.49143,147,10.119406
-18.416698,208,10.181983
-1.431414,15,10.186509
-3.240432,32,10.196085
-1.209661,16,10.200907
-16.340694,255,10.276704
-0.474952,30,10.285577
-1.36603,12,10.289295
-0.657425,15,10.293758
-6.415552,67,10.313651
-1.019228,10,10.31674
-11.960765,214,10.393486
-44.989404,624,10.575094
-0.502018,45,10.588439
-1.36932,32,10.597981
-21.573289,270,10.692455
-9.598042,128,10.725239
-1.023524,20,10.731242
-37.40878,545,10.894664
-11.105208,129,10.933558
-12.105657,157,10.994257
-27.528394,388,11.104613
-4.205517,39,11.116235
-1.889481,13,11.120228
-0.981986,26,11.12772
-4.477137,78,11.150627
-19.354528,281,11.23349
-0.880413,20,11.239516
-1.614335,24,11.2466
-9.331519,139,11.302255
-1.506861,21,11.308363
-1.425378,22,11.315074
-0.959713,15,11.319588
-1.393966,16,11.322834
-7.627913,108,11.351266
-5.281301,56,11.368122
-3.224482,33,11.377935
-30.278793,376,11.490289
-1.053788,13,11.494007
-16.954434,230,11.5769
-2.35209,40,11.5886
-1.108347,14,11.592862
-10.163025,158,11.635931
-1.568095,29,11.643372
-27.463647,336,11.743802
-21.377772,281,11.828096
-0.921326,26,11.835787
-0.964857,8,11.838283
0.122709,10,11.84131
-17.030705,240,11.928459
-1.207897,20,11.934579
-1.43169,9,11.937066
-5.767183,84,11.95702
-0.971513,17,11.962061
-0.250909,16,11.966767
-25.125991,349,12.071041
-1.7247,26,12.078621
-0.850838,19,12.084131
-4.37674,58,12.101566
-2.637872,38,12.112947
-5.907477,75,12.135391
-10.771838,148,12.19436
-24.455276,319,12.284425
-2.917395,52,12.29993
-1.34456,31,12.30912
-2.558955,22,12.315706
-4.119507,45,12.328881
-8.041881,114,12.360998
-19.466189,237,12.426204
-2.783658,35,12.436417
-10.765811,140,12.492465
0.349205,26,12.500145
-4.685806,72,12.521049
-11.609353,161,12.56861
-0.931713,11,12.571812
-2.357071,29,12.580283
-5.7287,75,12.602107
-21.268601,262,12.673635
-22.339949,293,12.760158
-0.062573,37,12.770926
-88.363538,1149,13.127678
-0.539665,27,13.135578
-3.210498,57,13.152023
-9.711648,188,13.206861
-1.904094,22,13.213228
-12.579663,149,13.257459
-29.999865,396,13.373809
-20.567827,303,13.478929
-18.071909,243,13.54797
-3.746801,37,13.555876
-5.866444,62,13.573988
-1.407979,21,13.580233
-16.285492,219,13.644801
-47.989779,677,13.854265
-1.484575,19,13.859425
0.078839,38,13.870717
-41.981694,556,14.049543
-2.583108,40,14.061112
-49.545151,612,14.235486
-18.343209,220,14.31437
-27.031648,365,14.422187
-1.284496,9,14.424687
-2.139549,16,14.429451
-18.904161,235,14.494039
-1.799721,9,14.496919
-8.793622,112,14.531523
-2.87646,27,14.539627
-9.563089,118,14.576082
-2.870766,36,14.587305
-7.336731,115,14.638675
-4.546826,56,14.65591
-22.711455,294,14.747248
-1.212896,37,14.758674
-11.692328,175,14.812344
-2.824044,58,14.830068
-1.908286,25,14.837873
-12.549161,162,14.88858
-1.774965,15,14.893184
-5.51838,76,14.916799
-1.841649,18,14.922476
-3.953471,43,14.954581
-1.592921,29,14.978247
-4.959162,64,15.031663
-1.589757,15,15.044845
-3.412193,68,15.099629
-2.876841,34,15.126103
-2.361118,45,15.163543
-17.837817,250,15.369145
-1.086418,9,15.376283
-0.864379,20,15.392592
-28.664275,377,15.707737
-22.843484,287,15.960812
-0.979304,16,15.973982
-1.52518,19,15.990602
-31.810343,436,16.356208
-0.602429,9,16.363475
-52.835061,677,16.935032
-1.59682,22,16.952646
-1.795001,22,16.968767
-8.534633,151,17.093651
-1.398475,21,17.112216
-1.756618,32,17.138622
0.34418,24,17.158957
-0.567449,17,17.173447
-59.495551,787,17.840135
-13.482814,170,17.981229
-10.864853,146,18.107247
-3.752576,33,18.13557
-1.018917,12,18.145576
-1.671289,10,18.153071
-2.473336,50,18.196824
-0.900422,13,18.207456
-0.122998,17,18.22135
-1.79705,27,18.24529
-1.250646,19,18.261531
-0.439672,3,18.264596
-35.386602,465,18.661839
-43.667624,559,19.132293
-115.695924,1500,20.411275
-18.498672,276,20.645776
-28.188748,353,20.953191
-41.063586,562,21.420646
-2.314289,18,21.436973
-2.209478,27,21.459942
-32.092632,430,21.836239
-1.151561,26,21.859367
-25.352015,306,22.113681
